,Hotel_Name,Hotel_Address,lat,lng,Reviewer_Average_Score,Total_No_Of_Reviewers,Non_Reviewer_Average_Score
299912,Zenit Borrell,Comte Borrell 208 Eixample 08029 Barcelona Spain,41.3859873,2.1514021,7.59047619048,84,8.56393442623
299996,U232 Hotel,Comte d Urgell 232 Eixample 08036 Barcelona Spain,41.3895237,2.1490307,8.74242424242,198,8.58648648649
300194,Eurostars Monumental,Consell de Cent 498 500 Eixample 08013 Barcelona Spain,41.4006653,2.1787089,8.21226415094,212,8.47714285714
300406,Pestana Arena Barcelona,Consell de Cent 51 53 Sants Montju c 08014 Barcelona Spain,41.376801,2.1460443,8.67605633803,142,8.14788732394
302169,The Mirror Barcelona,Corcega 255 Eixample 08036 Barcelona Spain,41.3930406,2.1545393,8.69936305732,157,8.392
305398,Tryp Barcelona Condal Mar Hotel,Crist bal de Moura 138 Sant Mart 08019 Barcelona Spain,41.4126508,2.2090895,8.137,100,8.03833333333
305498,NH Collection Barcelona Constanza,D u i Mata 66 99 Les Corts 08029 Barcelona Spain,41.3885274,2.1360471,8.51468926554,177,9.00091743119
312809,Mercer Hotel Barcelona,Dels Lledo 7 Ciutat Vella 08003 Barcelona Spain,41.3827,2.1791999,9.46712328767,146,9.57164179104
313034,Melia Barcelona Sky 4 Sup,Diagonal Pere IV 272 Sant Mart 08005 Barcelona Spain,41.4061636,2.2008956,8.4,44,8.4
313645,Ako Suites Hotel,Diputaci 195 Eixample 08011 Barcelona Spain,41.3861153,2.1611899,8.69541984733,131,8.70869565217
313776,Eurostars Cristal Palace,Diputaci 257 Eixample 08007 Barcelona Spain,41.3897945,2.1660575,7.94181818182,385,8.64977375566
314161,HCC St Moritz,Diputaci 262 264 Eixample 08007 Barcelona Spain,41.3908486,2.1680745,8.15436893204,103,8.71666666667
314264,Petit Palace Museum,Diputacion 250 Eixample 08007 Barcelona Spain,41.3888014,2.1653738,8.65982404692,341,8.47784431138
314748,Primero Primera,Doctor Carulla 25 Sarri St Gervasi 08017 Barcelona Spain,41.4002812,2.1297427,9.26338028169,71,9.059375
314819,Hotel 4 Barcelona,Doctor Trueta 164 Sant Mart 08005 Barcelona Spain,41.3959587,2.2008981,7.72916666667,120,7.65625
